name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Perry, NY",9/20/2021,26.5,10.7,18.6,26.5,10.7,18.6,13.1,72.2,0,0,0,,0,0,38.9,21.2,140.3,1023.5,15.6,16,170.4,14.9,6,,2021-09-20T06:57:26,2021-09-20T19:12:31,0.5,Clear,Clear conditions throughout the day.,clear-day,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",9/21/2021,24.3,17.8,20.7,24.3,17.8,20.7,14.5,68.2,0,0,0,,0,0,41.7,31.5,156.7,1022.1,37,16,120.4,10.4,4,,2021-09-21T06:58:31,2021-09-21T19:10:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,KBUF,F7363,72498894704,KDSV"
"Perry, NY",9/22/2021,24.2,19.2,21.5,24.2,19.2,21.5,18.3,82.3,6.39,100,79.17,rain,0,0,48.1,28.5,154.8,1012.8,88,15.4,77.3,6.8,3,,2021-09-22T06:59:36,2021-09-22T19:08:56,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",9/23/2021,22.9,12.5,18,22.9,12.5,18,14.2,79.8,47.76,100,54.17,rain,0,0,46.4,16.9,174.2,1009.4,91,12.6,105.4,9,6,,2021-09-23T07:00:41,2021-09-23T19:07:09,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",9/24/2021,20.4,12.3,15.1,20.4,12.3,15.1,8.7,67,0.12,100,12.5,rain,0,0,51.6,24.6,216.4,1015.2,65.2,16,153.7,13.3,6,,2021-09-24T07:01:47,2021-09-24T19:05:22,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72529014768,KGVQ,E7794,KROC,E6819,KBUF,72498894704,KDSV"
"Perry, NY",9/25/2021,22,9.8,15.5,22,8.4,15.4,9.9,72.1,0.24,100,8.33,rain,0,0,48.1,23.8,201.6,1015.6,30.7,16,149.6,13.1,6,,2021-09-25T07:02:52,2021-09-25T19:03:35,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72529014768,KGVQ,E7794,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",9/26/2021,20.5,9.7,15.1,20.5,8.3,15,9,70.5,0,0,0,,0,0,42.3,25.8,240.8,1014.2,52.2,16,160,13.9,7,,2021-09-26T07:03:58,2021-09-26T19:01:48,0.64,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,KBUF,F7363,72498894704,KDSV"
"Perry, NY",9/27/2021,24.9,13.7,18.8,24.9,13.7,18.8,12.7,69,2.1,100,25,rain,0,0,51,22.4,228.6,1010.7,61.2,15.8,152.8,13.1,6,,2021-09-27T07:05:04,2021-09-27T19:00:01,0.68,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",9/28/2021,17.8,9.4,15.2,17.8,9.2,15.2,10.8,75.9,0.29,100,4.17,rain,0,0,31.7,21.3,245.6,1013.7,65.4,15.7,158.1,13.6,6,,2021-09-28T07:06:10,2021-09-28T18:58:15,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",9/29/2021,19.1,7.1,12.6,19.1,5.3,12.2,7.6,74.2,0,0,0,,0,0,37.1,20.7,226.5,1018.7,52.4,16,97.7,8.5,7,,2021-09-29T07:07:16,2021-09-29T18:56:29,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,E6819,KBUF,72498894704,KDSV,C4954"
"Perry, NY",9/30/2021,14.9,9.1,12.1,14.9,9.1,12.1,8.1,77.2,0,0,0,,0,0,,17.2,272.7,1023,90.1,15.9,103.8,8.7,5,,2021-09-30T07:08:23,2021-09-30T18:54:43,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/1/2021,19.2,7.5,12.4,19.2,5.9,12,8.1,76.6,0,0,0,,0,0,27.7,15,220.3,1025.1,46,16,131,11.4,5,,2021-10-01T07:09:30,2021-10-01T18:52:58,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/2/2021,24.1,10.7,16.6,24.1,10.7,16.6,10.4,69.1,0,0,0,,0,0,38.4,20.8,209,1019.6,14.2,16,148.2,12.8,6,,2021-10-02T07:10:37,2021-10-02T18:51:13,0.91,Clear,Clear conditions throughout the day.,clear-day,"72529014768,KGVQ,E7794,KROC,E6819,KBUF,72498894704,KDSV"
"Perry, NY",10/3/2021,20.3,15,17.8,20.3,15,17.8,16,89.3,16.3,100,70.83,rain,0,0,,14.5,160.5,1013.7,89.2,12.6,36.4,3.2,2,,2021-10-03T07:11:44,2021-10-03T18:49:28,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/4/2021,21.2,17.2,18.5,21.2,17.2,18.5,17.7,94.8,16.64,100,87.5,rain,0,0,,12.9,87.6,1014.1,97,9.8,41.1,3.5,2,,2021-10-04T07:12:51,2021-10-04T18:47:44,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,F7363,72498894704,KDSV"
"Perry, NY",10/5/2021,18.9,15.6,16.9,18.9,15.6,16.9,15.8,93.1,0.15,100,12.5,rain,0,0,,14.5,118.3,1023.4,93,11.7,49.1,4.5,2,,2021-10-05T07:13:59,2021-10-05T18:46:00,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/6/2021,21.6,14.8,17.4,21.6,14.8,17.4,15.5,88.8,0,0,0,,0,0,,11.1,87.6,1027.9,75.4,14.8,66.5,5.7,2,,2021-10-06T07:15:07,2021-10-06T18:44:16,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/7/2021,25.5,14.4,18.8,25.5,14.4,18.8,15.7,83.6,0.05,100,4.17,rain,0,0,,10.9,121.4,1024.8,44.3,14.5,143.4,12.3,5,,2021-10-07T07:16:15,2021-10-07T18:42:34,0.01,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/8/2021,24.4,15.1,18.5,24.4,15.1,18.5,15.9,85.5,0,0,0,,0,0,,14.3,118,1020.6,42.9,14.4,111.2,9.7,5,,2021-10-08T07:17:24,2021-10-08T18:40:51,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,E6819,KBUF,72498894704,KDSV"
"Perry, NY",10/9/2021,20,16.3,18.1,20,16.3,18.1,14.6,80.3,0.06,100,4.17,rain,0,0,38.8,23.6,146.8,1019.9,77.7,16,54.3,4.6,2,,2021-10-09T07:18:33,2021-10-09T18:39:10,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/10/2021,22.1,16.9,18.9,22.1,16.9,18.9,14.2,74.7,0.17,100,4.17,rain,0,0,37.1,19.6,161,1019.5,81.2,16,101.6,8.7,5,,2021-10-10T07:19:42,2021-10-10T18:37:29,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/11/2021,24.3,16.4,19.8,24.3,16.4,19.8,14.8,73.6,0,0,0,,0,0,29.5,18.6,160.2,1017.3,35.2,16,128.2,11,5,,2021-10-11T07:20:51,2021-10-11T18:35:48,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,E6819,KBUF,72498894704,KDSV"
